hub_code,hub_name,region,zone,shift_slots,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,apex_branch,sorter,at
M10,MUMBAI SAKINAKA APEX,MUMBAI,West,12PM-8PM,103493,107050,31,210512,107050,231123.629,267556,170179,274728,163007,170179,347680.506,M10,1,7
M10,MUMBAI SAKINAKA APEX,MUMBAI,West,6AM-12PM,342787,278380,278329,342838,278380,590461.01,242605,269129,186118,325616,269129,613053.081,M10,1,7
M10,MUMBAI SAKINAKA APEX,MUMBAI,West,8PM-6AM,694312,776248,516588,953972,776248,1789246.125,633729,742536,201818,1174447,742536,1702423.691,M10,1,7
N05,DELHI SAMALKHA APEX,NORTH DELHI RO,North,12PM-8PM,454260,680168,263928,870500,680168,2428230.281,317662,439161,379856,376967,439161,1149262.525,N05,1,7
N05,DELHI SAMALKHA APEX,NORTH DELHI RO,North,6AM-12PM,486559,443275,378682,551152,443275,1070586.367,356932,512115,157278,711769,512115,1403783.931,N05,1,7
N05,DELHI SAMALKHA APEX,NORTH DELHI RO,North,8PM-6AM,1047686,1354790,688495,1713981,1354790,3705615.471,1306312,1565741,254683,2617370,1565741,3686779.701,N05,1,7
A01,AHMEDABAD APEX,AHMEDABAD,West,12PM-8PM,84211,140364,707,223868,140364,387264.392,43899,71962,69197,46664,71962,238022.966,A01,1,7
A04,SURAT APEX,AHMEDABAD,West,12PM-8PM,1120,3864,0,4984,3864,4859.532,1939,5563,2884,4618,5563,16537.32,A04,0,7
B10,BANGALORE YELAHANKA APEX,BANGALORE,South,12PM-8PM,137848,297943,6096,429695,297943,931536.038,125680,239255,158736,206199,239255,734303.566,B10,1,7
C20,VELAPPANCHAVADI APEX,CHENNAI,South,12PM-8PM,92197,203728,4,295921,203728,667328.874,79524,112182,1653,190053,112182,429191.871,C20,0,7
C42,GUINDY APEX,CHENNAI,South,12PM-8PM,61604,56791,0,118395,56791,106560.988,40668,30122,69983,807,30122,58924.793,C42,0,7
E01,COIMBATORE APEX,COIMBATORE,South,12PM-8PM,3332,9016,952,11396,9016,21272.282,8953,18402,24354,3001,18402,41819.674,E01,0,7
H13,HYDERABAD SHAMSHABAD APEX,HYDERABAD,South,12PM-8PM,122879,278818,60,401637,278818,903954.486,128947,234648,145198,218397,234648,750210.842,H13,1,7
I01,INDORE APEX,INDORE REGIONAL OFFICE,West,12PM-8PM,43754,29865,17068,56551,29865,49227.913,31031,21534,30656,21909,21534,40848.43,I01,0,7
J29,PANCHKULA APEX,HHPT REGIONAL OFFICE,North,12PM-8PM,16466,14525,518,30473,14525,31268.788,13674,9819,18988,4505,9819,23602.768,J29,0,7
K16,KOLKATA RAJARHAT APEX,KOLKATA,East,12PM-8PM,76478,85627,10768,151337,85627,186776.531,75716,88302,132007,32011,88302,187234.65,K16,0,7
K95,KOLKATA PAKURIA APEX,KOLKATA,East,12PM-8PM,16603,169312,0,185915,169312,862030.189,14398,107293,198,121493,107293,570696.338,K95,1,7
L04,GURGAON BRANCH,GGR REGIONAL OFFICE,North,12PM-8PM,6879,15766,0,22645,15766,56943.517,24892,26080,107,50865,26080,148244.46,L04,0,7
M10,MUMBAI SAKINAKA APEX,MUMBAI,West,12PM-8PM,103493,107050,31,210512,107050,231123.629,267556,170179,274728,163007,170179,347680.506,M10,1,7
N05,DELHI SAMALKHA APEX,NORTH DELHI RO,North,12PM-8PM,454260,680168,263928,870500,680168,2428230.281,317662,439161,379856,376967,439161,1149262.525,N05,1,7
N41,DELHI SAMHALKHA SURFACE APEX,NORTH DELHI RO,North,12PM-8PM,146,227761,0,227907,227761,985158.963,,,,,,,N41,0,7
O06,COCHIN APEX,COCHIN,South,12PM-8PM,89150,273294,5479,356965,273294,723656.298,81621,221522,67952,235191,221522,677213.769,O06,1,7
P01,PUNE APEX,PUNE,West,12PM-8PM,81056,110268,12211,179113,110268,382509.11,40107,108635,47739,101003,108635,436741.444,P01,1,7
Q05,JAIPUR APEX,JAIPUR,North,12PM-8PM,41773,73920,13030,102663,73920,204735.882,,,,,,,Q05,0,7
R01,NAGPUR AIR APEX,NAGPUR RO,West,12PM-8PM,45292,27631,25477,47446,27631,42054.448,37818,16771,21423,33166,16771,28958.811,R01,0,7
T02,RANCHI APEX,PATNA,East,12PM-8PM,10588,20245,2201,28632,20245,70461.794,11631,20568,11923,20276,20568,71200.529,T02,0,7
U43,LUCKNOW APEX,GHAZIABAD RO,North,12PM-8PM,64024,88777,52697,100104,88777,364682.779,51727,122344,8274,165797,122344,573007.659,U43,1,7
W53,BHUBANESWAR AIR APEX,BHUBANESHWAR,East,12PM-8PM,42993,34414,216,77191,34414,52173.474,19679,18911,26730,11860,18911,34857.554,W53,0,7
X01,DHARAPUR APEX,GUWAHATI,East,12PM-8PM,23295,42262,8304,57253,42262,250441.453,15560,60047,39487,36120,60047,237939.803,X01,0,7
A01,AHMEDABAD APEX,AHMEDABAD,West,6AM-12PM,54600,79485,76160,57925,79485,230724.299,63583,101158,80382,84359,101158,319233.519,A01,1,7
A04,SURAT APEX,AHMEDABAD,West,6AM-12PM,21134,43529,428,64235,43529,56496.317,26391,79261,10472,95180,79261,168745.52,A04,0,7
B10,BANGALORE YELAHANKA APEX,BANGALORE,South,6AM-12PM,150478,227679,113921,264236,227679,605932.726,112230,233359,150751,194838,233359,644696.29,B10,1,7
C20,VELAPPANCHAVADI APEX,CHENNAI,South,6AM-12PM,72468,112869,1216,184121,112869,373508.873,122692,243189,3874,362007,243189,844900.851,C20,0,7
C42,GUINDY APEX,CHENNAI,South,6AM-12PM,9006,7341,0,16347,7341,11236.438,30771,35592,64487,1876,35592,64186.796,C42,0,7
E01,COIMBATORE APEX,COIMBATORE,South,6AM-12PM,33292,47232,33734,46790,47232,97938.189,49445,92139,14202,127382,92139,241204.907,E01,0,7
H13,HYDERABAD SHAMSHABAD APEX,HYDERABAD,South,6AM-12PM,103554,165309,70,268793,165309,537161.213,157058,237583,98745,295896,237583,676372.059,H13,1,7
I01,INDORE APEX,INDORE REGIONAL OFFICE,West,6AM-12PM,27626,27138,109,54655,27138,42988.505,23735,24806,35915,12626,24806,57605.315,I01,0,7
J29,PANCHKULA APEX,HHPT REGIONAL OFFICE,North,6AM-12PM,17089,18106,33895,1300,18106,35492.772,21303,22431,9351,34383,22431,43996.907,J29,0,7
K16,KOLKATA RAJARHAT APEX,KOLKATA,East,6AM-12PM,143736,84071,101493,126314,84071,184789.302,135407,77251,108165,104493,77251,159274.222,K16,0,7
K95,KOLKATA PAKURIA APEX,KOLKATA,East,6AM-12PM,3000,32096,0,35096,32096,149914.379,5793,87558,133,93218,87558,413546.289,K95,1,7
L04,GURGAON BRANCH,GGR REGIONAL OFFICE,North,6AM-12PM,11004,15283,0,26287,15283,44883.611,55220,40943,156,96007,40943,139876.073,L04,0,7
M10,MUMBAI SAKINAKA APEX,MUMBAI,West,6AM-12PM,342787,278380,278329,342838,278380,590461.01,242605,269129,186118,325616,269129,613053.081,M10,1,7
N05,DELHI SAMALKHA APEX,NORTH DELHI RO,North,6AM-12PM,486559,443275,378682,551152,443275,1070586.367,356932,512115,157278,711769,512115,1403783.931,N05,1,7
N41,DELHI SAMHALKHA SURFACE APEX,NORTH DELHI RO,North,6AM-12PM,454,282091,0,282545,282091,1137645.113,,,,,,,N41,0,7
O06,COCHIN APEX,COCHIN,South,6AM-12PM,22705,76525,31019,68211,76525,232778.029,66125,164779,60433,170471,164779,384419.401,O06,1,7
P01,PUNE APEX,PUNE,West,6AM-12PM,62591,100566,3068,160089,100566,307041.859,144927,165799,86633,224093,165799,436983.409,P01,1,7
Q05,JAIPUR APEX,JAIPUR,North,6AM-12PM,45741,89188,145,134784,89188,341500.014,,,,,,,Q05,0,7
R01,NAGPUR AIR APEX,NAGPUR RO,West,6AM-12PM,13246,11940,39,25147,11940,20505.723,28215,22367,40337,10245,22367,33147.899,R01,0,7
T02,RANCHI APEX,PATNA,East,6AM-12PM,21103,10473,31153,423,10473,17828.623,27914,45630,18139,55405,45630,160193.699,T02,0,7
U43,LUCKNOW APEX,GHAZIABAD RO,North,6AM-12PM,21085,23870,16719,28236,23870,68529.301,74338,95495,27580,142253,95495,293610.871,U43,1,7
W53,BHUBANESWAR AIR APEX,BHUBANESHWAR,East,6AM-12PM,11972,17665,303,29334,17665,32830.371,35585,32234,36959,30860,32234,51653.406,W53,0,7
X01,DHARAPUR APEX,GUWAHATI,East,6AM-12PM,1978,15490,1088,16380,15490,58564.865,10793,60076,27038,43831,60076,275858.092,X01,0,7
A01,AHMEDABAD APEX,AHMEDABAD,West,8PM-6AM,135301,230122,96913,268510,230122,771845.891,168215,277247,127112,318350,277247,886255.615,A01,1,7
A04,SURAT APEX,AHMEDABAD,West,8PM-6AM,16595,204758,107098,114255,204758,401117.506,12514,114367,141,126740,114367,232740.961,A04,0,7
B10,BANGALORE YELAHANKA APEX,BANGALORE,South,8PM-6AM,317187,485243,185399,617031,485243,1556313.188,372370,560760,153569,779561,560760,1639002.568,B10,1,7
C20,VELAPPANCHAVADI APEX,CHENNAI,South,8PM-6AM,402020,423590,228111,597499,423590,1643161.819,359270,395751,50577,704444,395751,1523603.97,C20,0,7
C42,GUINDY APEX,CHENNAI,South,8PM-6AM,56557,46349,0,102906,46349,83656.31,56898,45630,102217,311,45630,82249.969,C42,0,7
E01,COIMBATORE APEX,COIMBATORE,South,8PM-6AM,62012,112322,33620,140714,112322,293045.079,7168,15463,16582,6049,15463,33229.676,E01,0,7
H13,HYDERABAD SHAMSHABAD APEX,HYDERABAD,South,8PM-6AM,487901,713236,216398,984739,713236,1986183.397,422842,677670,138594,961918,677670,1930867.998,H13,1,7
I01,INDORE APEX,INDORE REGIONAL OFFICE,West,8PM-6AM,49077,56613,48286,57404,56613,98404.601,61632,56296,48856,69072,56296,85830.453,I01,0,7
J29,PANCHKULA APEX,HHPT REGIONAL OFFICE,North,8PM-6AM,21361,18987,13446,26902,18987,42411.586,20155,19491,22124,17522,19491,42522.764,J29,0,7
K16,KOLKATA RAJARHAT APEX,KOLKATA,East,8PM-6AM,228712,310267,149976,389003,310267,567782.099,237917,307452,105073,440296,307452,565298.229,K16,0,7
K95,KOLKATA PAKURIA APEX,KOLKATA,East,8PM-6AM,12397,139849,0,152246,139849,679012.388,11681,147544,92,159133,147544,710735.902,K95,1,7
L04,GURGAON BRANCH,GGR REGIONAL OFFICE,North,8PM-6AM,142782,124063,0,266845,124063,362929.329,11206,15639,85,26760,15639,49641.759,L04,0,7
M10,MUMBAI SAKINAKA APEX,MUMBAI,West,8PM-6AM,694312,776248,516588,953972,776248,1789246.125,633729,742536,201818,1174447,742536,1702423.691,M10,1,7
N05,DELHI SAMALKHA APEX,NORTH DELHI RO,North,8PM-6AM,1047686,1354790,688495,1713981,1354790,3705615.471,1306312,1565741,254683,2617370,1565741,3686779.701,N05,1,7
N41,DELHI SAMHALKHA SURFACE APEX,NORTH DELHI RO,North,8PM-6AM,135,226565,0,226700,226565,982397.834,,,,,,,N41,0,7
O06,COCHIN APEX,COCHIN,South,8PM-6AM,114332,204544,49236,269640,204544,646411.231,34014,88182,7391,114805,88182,217221.317,O06,1,7
P01,PUNE APEX,PUNE,West,8PM-6AM,329515,454329,153580,630264,454329,1396502.962,285231,384585,77161,592655,384585,1249469.701,P01,1,7
Q05,JAIPUR APEX,JAIPUR,North,8PM-6AM,127369,349299,105567,371101,349299,733463.386,,,,,,,Q05,0,7
R01,NAGPUR AIR APEX,NAGPUR RO,West,8PM-6AM,65896,24476,46028,44344,24476,44909.632,58073,24343,33974,48442,24343,45517.672,R01,0,7
T02,RANCHI APEX,PATNA,East,8PM-6AM,11557,15805,280,27082,15805,79840.775,1583,1439,60,2962,1439,5704.603,T02,0,7
U43,LUCKNOW APEX,GHAZIABAD RO,North,8PM-6AM,111118,206985,15775,302328,206985,818433.904,69631,94881,31468,133044,94881,321320.868,U43,1,7
W53,BHUBANESWAR AIR APEX,BHUBANESHWAR,East,8PM-6AM,25111,17640,35949,6802,17640,39108.42,25043,17096,7426,34713,17096,37987.575,W53,0,7
X01,DHARAPUR APEX,GUWAHATI,East,8PM-6AM,35883,146944,14904,167923,146944,832066.219,15177,27790,33834,9133,27790,90490.718,X01,0,7